average_price,difference_actual_pred_price,postcode_sector
38.98,-7.6900001,G46 9S
38.98,-7.6900001,G5 0SH
38.98,-7.6900001,G5 8EJ
38.98,-7.6900001,G5 9RY
38.98,-7.6900001,G51 1L
38.98,-7.6900001,G51 2U
38.98,-7.6900001,G51 3H
38.98,-7.6900001,G51 4B
38.98,-7.6900001,G52 1H
38.98,-7.6900001,G52 2L
38.98,-7.6900001,G52 3Q
38.98,-7.6900001,G52 4H
38.98,-7.6900001,G53 5X
38.98,-7.6900001,G53 6H
38.98,-8.5100002,G53 7R
38.98,-7.6900001,G58 1Y
38.98,-7.6900001,G58 2S
38.98,-7.6900001,G60 5J
38.98,-7.6900001,G61 1N
38.98,-7.6900001,G61 2L
38.98,-7.6900001,G61 3D
38.98,-8.5100002,G61 4Q
38.98,-7.6900001,G62 6N
38.98,-7.6900001,G62 7D
38.98,-7.6900001,G62 8D
38.98,-7.6900001,G62 9B
38.98,-8.5100002,G63 0R
38.98,-8.5100002,G63 9B
38.98,-7.6900001,G64 1S
38.98,-7.6900001,G64 2A
38.98,-7.6900001,G64 3P
38.98,-8.5100002,G64 4A
38.98,-8.5100002,G65 0S
38.98,-7.8800001,G65 9B
38.98,-7.8800001,G66 1P
38.98,-7.8800001,G66 2R
38.98,-7.8800001,G66 3S
38.98,-7.8800001,G66 4H
38.98,-7.8800001,G66 5A
38.98,-8.3400002,G66 7H
38.98,-8.3400002,G66 8E
38.98,-7.8800001,G67 1L
38.98,-7.8800001,G67 2J
38.98,-7.8800001,G67 3A
38.98,-8.5100002,G67 4H
38.98,-7.8800001,G68 0F
38.98,-7.8800001,G68 9F
38.98,-8.3400002,G69 0E
38.98,-7.6900001,G69 6R
38.98,-7.8800001,G69 7P
38.98,-8.3400002,G69 8B
38.98,-8.3400002,G69 9B
38.98,-7.8800001,G70 5T
38.98,-7.8800001,G70 6A
38.98,-7.8800001,G71 5Q
38.98,-7.8800001,G71 6P
38.98,-8.5100002,G71 7S
38.98,-7.8800001,G71 8S
38.98,-7.8800001,G71 9A
38.98,-7.8800001,G72 0D
38.98,-7.6900001,G72 6W
38.98,-7.6900001,G72 7J
38.98,-7.6900001,G72 8N
38.98,-7.8800001,G72 9L
38.98,-7.6900001,G73 1D
38.98,-7.6900001,G73 2D
38.98,-7.6900001,G73 3A
38.98,-7.6900001,G73 4P
38.98,-7.6900001,G73 5L
38.98,-7.8800001,G74 1J
38.98,-7.8800001,G74 2D
38.98,-7.8800001,G74 3P
38.98,-7.8800001,G74 4Q
38.98,-7.8800001,G74 5E
38.98,-7.8800001,G75 0Q
38.98,-7.8800001,G75 8D
38.98,-7.8800001,G75 9H
38.98,-8.3400002,G76 0A
38.98,-7.6900001,G76 6A
38.98,-7.6900001,G76 7X
38.98,-7.6900001,G76 8D
38.98,-8.5100002,G76 9D
38.98,-7.6900001,G77 5F
38.98,-8.5100002,G77 6P
38.98,-7.8800001,G78 1D
38.98,-7.8800001,G78 2A
38.98,-8.3400002,G78 3N
38.98,-8.5100002,G78 4B
38.98,-7.8800001,G79 1A
38.98,-7.6900001,G81 1Y
38.98,-7.6900001,G81 2H
38.98,-7.6900001,G81 3B
38.98,-7.6900001,G81 4Q
38.98,-7.6900001,G81 5B
38.98,-7.6900001,G81 6N
38.98,-7.8800001,G82 1S
38.98,-7.8800001,G82 2H
38.98,-7.8800001,G82 3B
38.98,-7.8800001,G82 4L
38.98,-8.5100002,G82 5P
38.98,-7.8800001,G82 9S
38.98,-7.8800001,G83 0B
38.98,-12.12,G83 7B
38.98,-7.8800001,G83 8S
38.98,-7.8800001,G83 9N
38.98,-8.3400002,G84 0F
38.98,-7.8800001,G84 7N
38.98,-7.8800001,G84 8D
38.98,-7.8800001,G84 9Q
38.98,-7.6900001,G90 8A
71.730003,13.16,HS1 2S
71.730003,13.16,HS1 9A
71.730003,13.16,HS2 0D
71.730003,13.19,HS2 9P
71.730003,13.19,HS3 3B
71.730003,13.19,HS4 3Y
71.730003,13.19,HS5 3U
71.730003,13.19,HS6 5B
71.730003,13.19,HS7 5Q
71.730003,13.19,HS8 5S
71.730003,13.19,HS9 5X
71.730003,24.875,IV1 1U
71.730003,24.24,IV1 3X
71.730003,20.635,IV10 8
71.730003,20.635,IV11 8
71.730003,24.42,IV12 4
71.730003,24.42,IV12 5
71.730003,24.24,IV13 7
71.730003,20.635,IV14 9
71.730003,22.844999,IV15 9
71.730003,20.635,IV16 9
71.730003,22.844999,IV17 0
71.730003,20.635,IV18 0
71.730003,13.16,IV19 1
71.730003,24.875,IV2 3N
71.730003,24.875,IV2 4N
71.730003,24.875,IV2 5T
71.730003,20.635,IV2 6X
71.730003,24.24,IV2 7S
71.730003,13.19,IV20 1
71.730003,13.19,IV21 2
71.730003,13.19,IV22 2
71.730003,13.19,IV23 2
71.730003,13.19,IV24 3
71.730003,13.19,IV25 3
71.730003,13.19,IV26 2
71.730003,13.19,IV27 4
71.730003,13.19,IV27 9
71.730003,13.19,IV28 3
71.730003,24.875,IV3 5E
71.730003,24.875,IV3 8R
71.730003,24.875,IV30 1
71.730003,24.875,IV30 4
71.730003,24.24,IV30 5
71.730003,24.875,IV30 6
71.730003,24.24,IV30 8
71.730003,24.875,IV30 9
71.730003,24.42,IV31 6
71.730003,24.24,IV32 7
71.730003,24.875,IV36 1
71.730003,24.875,IV36 2
71.730003,24.24,IV36 3
71.730003,20.635,IV4 7L
71.730003,13.19,IV40 8
71.730003,13.19,IV41 8
71.730003,13.19,IV42 8
71.730003,13.19,IV43 8
71.730003,13.19,IV44 8
71.730003,13.19,IV45 8
71.730003,13.19,IV46 8
71.730003,13.19,IV47 8
71.730003,13.19,IV48 8
71.730003,13.19,IV49 9
71.730003,24.24,IV5 7P
71.730003,13.19,IV51 9
71.730003,13.19,IV52 8
71.730003,13.19,IV53 8
71.730003,13.19,IV54 8
71.730003,13.19,IV55 8
71.730003,13.19,IV56 8
71.730003,24.24,IV6 7R
71.730003,20.635,IV63 6
71.730003,20.635,IV63 7
71.730003,20.635,IV7 8L
71.730003,24.24,IV8 8N
71.730003,24.24,IV9 8R
71.730003,24.875,IV99 1
38.98,-7.8800001,KA1 1B
38.98,-7.8800001,KA1 2E
38.98,-7.8800001,KA1 3Q
38.98,-7.8800001,KA1 4D
38.98,-7.8800001,KA1 5H
38.98,-7.8800001,KA10 6
38.98,-7.8800001,KA10 7
38.98,-7.8800001,KA11 1
38.98,-7.8800001,KA11 2
38.98,-8.5100002,KA11 3
38.98,-7.8800001,KA11 4
38.98,-7.8800001,KA11 5
38.98,-7.8800001,KA12 0
38.98,-7.8800001,KA12 2
38.98,-7.8800001,KA12 8
38.98,-7.8800001,KA12 9
38.98,-7.8800001,KA13 6
38.98,-7.8800001,KA13 7
38.98,-8.3400002,KA14 3
38.98,-8.5100002,KA15 1
38.98,-8.5100002,KA15 2
38.98,-8.3400002,KA15 9
38.98,-8.5100002,KA16 9
38.98,-8.3400002,KA17 0
38.98,-9.9099998,KA18 1
38.98,-8.5100002,KA18 2
38.98,-9.9099998,KA18 3
38.98,-12.12,KA18 4
38.98,-8.5100002,KA19 7
38.98,-8.5100002,KA19 8
38.98,-7.8800001,KA2 0L
38.98,-8.5100002,KA2 9E
38.98,-7.8800001,KA20 3
38.98,-7.8800001,KA20 4
38.98,-7.8800001,KA21 5
38.98,-7.8800001,KA21 6
38.98,-7.8800001,KA22 7
38.98,-7.8800001,KA22 8
38.98,-8.3400002,KA23 9
38.98,-8.5100002,KA24 4
38.98,-8.3400002,KA24 5
38.98,-8.3400002,KA25 6
38.98,-8.3400002,KA25 7
38.98,-12.12,KA26 0
38.98,-12.12,KA26 9
71.730003,13.19,KA27 8
71.730003,20.635,KA28 0
38.98,-8.5100002,KA29 0
38.98,-7.8800001,KA3 1L
38.98,-8.5100002,KA3 2T
38.98,-8.3400002,KA3 3D
38.98,-8.5100002,KA3 4A
38.98,-8.3400002,KA3 5E
38.98,-7.8800001,KA3 6F
38.98,-7.8800001,KA3 7H
38.98,-7.8800001,KA30 0
38.98,-7.8800001,KA30 8
38.98,-7.8800001,KA30 9
38.98,-8.3400002,KA4 8D
38.98,-8.3400002,KA5 5D
38.98,-9.9099998,KA5 6W
38.98,-8.5100002,KA6 5B
38.98,-8.5100002,KA6 6A
38.98,-8.5100002,KA6 7P
38.98,-7.8800001,KA7 1D
38.98,-7.8800001,KA7 2X
38.98,-7.8800001,KA7 3J
38.98,-7.8800001,KA7 4Q
38.98,-7.8800001,KA8 0L
38.98,-7.8800001,KA8 8D
38.98,-7.8800001,KA8 9H
38.98,-7.8800001,KA9 1D
38.98,-7.8800001,KA9 2E
71.730003,13.16,KW1 4B
71.730003,13.16,KW1 5A
71.730003,13.19,KW10 6
71.730003,13.19,KW11 6
71.730003,13.19,KW12 6
71.730003,13.19,KW13 6
71.730003,13.16,KW14 7
71.730003,13.19,KW14 8
71.730003,13.19,KW15 1
71.730003,13.19,KW16 3
71.730003,13.19,KW16 9
71.730003,13.19,KW17 2
71.730003,13.19,KW2 6A
71.730003,13.19,KW3 6A
71.730003,13.19,KW5 6D
71.730003,13.19,KW6 6E
71.730003,13.19,KW7 6H
71.730003,13.19,KW8 6H
71.730003,13.19,KW9 6Q
38.98,-7.8800001,KY1 1P
38.98,-7.8800001,KY1 2Q
38.98,-7.8800001,KY1 3J
38.98,-8.5100002,KY1 4R
38.98,-8.3400002,KY10 2
38.98,-8.3400002,KY10 3
38.98,-8.5100002,KY11 1
38.98,-7.8800001,KY11 2
38.98,-7.8800001,KY11 3
38.98,-7.8800001,KY11 4
38.98,-8.5100002,KY11 7
38.98,-7.8800001,KY11 8
38.98,-7.8800001,KY11 9
38.98,-7.8800001,KY12 0
38.98,-7.8800001,KY12 7
38.98,-8.5100002,KY12 8
38.98,-8.5100002,KY12 9
38.98,-8.5100002,KY13 0
38.98,-8.3400002,KY13 3
38.98,-8.3400002,KY13 8
38.98,-8.5100002,KY13 9
38.98,-8.5100002,KY14 6
38.98,-8.5100002,KY14 7
38.98,-8.5100002,KY15 4
38.98,-8.5100002,KY15 5
38.98,-8.5100002,KY15 7
38.98,-8.3400002,KY15 9
38.98,-8.3400002,KY16 0
38.98,-7.8800001,KY16 8
38.98,-7.8800001,KY16 9
38.98,-7.8800001,KY2 5E
38.98,-7.8800001,KY2 6X
38.98,-8.3400002,KY3 0J
38.98,-8.5100002,KY3 9R
38.98,-8.3400002,KY4 0F
38.98,-7.8800001,KY4 8A
38.98,-7.8800001,KY4 9Q
38.98,-8.5100002,KY5 0X
38.98,-7.8800001,KY5 8L
38.98,-7.8800001,KY5 9A
38.98,-7.8800001,KY6 1J
38.98,-7.8800001,KY6 2B
38.98,-7.8800001,KY6 3E
38.98,-7.8800001,KY7 4E
38.98,-7.8800001,KY7 5D
38.98,-7.8800001,KY7 6F
38.98,-7.8800001,KY7 9U
38.98,-7.8800001,KY8 1L
38.98,-7.8800001,KY8 2J
38.98,-7.8800001,KY8 3B
38.98,-7.8800001,KY8 4D
38.98,-8.5100002,KY8 5N
38.98,-8.5100002,KY8 6B
38.98,-8.5100002,KY9 1A
38.98,-7.8800001,KY99 0
38.98,-7.8800001,KY99 1
38.98,-7.8800001,KY99 2
38.98,-7.8800001,KY99 3
38.98,-7.8800001,KY99 5
38.98,-7.8800001,KY99 6
38.98,-7.8800001,KY99 7
38.98,-7.8800001,KY99 8
38.98,-7.8800001,KY99 9
38.98,-7.8800001,ML1 1N
38.98,-7.8800001,ML1 2H
38.98,-7.8800001,ML1 3D
38.98,-7.8800001,ML1 4H
38.98,-7.8800001,ML1 5F
38.98,-7.8800001,ML1 9W
38.98,-8.3400002,ML10 6
38.98,-8.3400002,ML11 0
38.98,-8.5100002,ML11 7
38.98,-8.5100002,ML11 8
38.98,-8.5100002,ML11 9
38.98,-12.12,ML12 6
38.98,-7.8800001,ML2 0B
38.98,-7.8800001,ML2 7N
38.98,-7.8800001,ML2 8D
38.98,-7.8800001,ML2 9A
38.98,-7.8800001,ML3 0J
38.98,-7.8800001,ML3 6J
38.98,-8.5100002,ML3 7X
38.98,-8.5100002,ML3 8R
38.98,-7.8800001,ML3 9T
38.98,-7.8800001,ML4 1N
38.98,-7.8800001,ML4 2R
38.98,-7.8800001,ML4 3P
38.98,-7.8800001,ML5 1R
38.98,-7.8800001,ML5 2L
38.98,-7.8800001,ML5 3A
38.98,-7.8800001,ML5 4H
38.98,-7.8800001,ML5 5R
38.98,-7.8800001,ML5 9A
38.98,-7.8800001,ML6 0E
38.98,-7.8800001,ML6 6A
