Average_price,postcode_sector
38.98,TD7 5B
38.98,TD8 6J
38.98,TD8 9A
38.98,TD9 0S
38.98,TD9 1A
38.98,TD9 7H
38.98,TD9 8L
38.98,TD9 9T
71.73,ZE1 0U
71.73,ZE1 9S
71.73,ZE2 9D
71.73,ZE3 9J
