postcode_sector,average_price,average_pred_price,difference_actual_pred_price_per
EH4 9B,59.919998,46.665001,.28404585
EH40 3,59.919998,47.490002,.26173931
EH41 3,38.98,47.310001,-.17607272
EH41 4,59.919998,47.310001,.26653984
EH42 1,59.919998,48.884998,.22573386
EH43 6,59.919998,47.490002,.26173931
EH44 6,59.919998,47.310001,.26653984
EH45 8,59.919998,47.310001,.26653984
EH45 9,59.919998,47.310001,.26653984
EH46 7,38.98,47.490002,-.17919563
EH47 0,59.919998,46.855,.27883896
EH47 7,59.919998,46.855,.27883896
EH47 8,59.919998,46.855,.27883896
EH47 9,59.919998,47.310001,.26653984
EH48 1,59.919998,46.855,.27883896
EH48 2,59.919998,46.855,.27883896
EH48 3,38.98,46.855,-.16807172
EH48 4,59.919998,46.855,.27883896
EH48 9,59.919998,46.855,.27883896
EH49 6,38.98,46.855,-.16807172
EH49 7,59.919998,46.855,.27883896
EH5 1A,59.919998,46.665001,.28404585
EH5 2N,38.98,46.665001,-.16468446
EH5 3L,59.919998,46.665001,.28404585
EH51 0,38.98,46.855,-.16807172
EH51 9,59.919998,46.855,.27883896
EH52 5,59.919998,46.855,.27883896
EH52 6,59.919998,46.855,.27883896
EH52 9,59.919998,46.855,.27883896
EH53 0,59.919998,46.855,.27883896
EH54 5,59.919998,46.855,.27883896
EH54 6,38.98,46.855,-.16807172
EH54 7,38.98,46.855,-.16807172
EH54 8,38.98,46.855,-.16807172
EH54 9,38.98,46.855,-.16807172
EH55 8,38.98,46.855,-.16807172
EH6 4A,38.98,46.665001,-.16468446
EH6 5D,38.98,46.665001,-.16468446
EH6 6D,38.98,46.665001,-.16468446
EH6 7L,38.98,46.665001,-.16468446
EH6 8H,38.98,46.665001,-.16468446
EH7 4N,38.98,46.665001,-.16468446
EH7 5F,38.98,46.665001,-.16468446
EH7 6U,38.98,46.665001,-.16468446
EH8 7Q,38.98,46.665001,-.16468446
EH8 8E,38.98,46.665001,-.16468446
EH8 9N,38.98,46.665001,-.16468446
EH9 1R,38.98,46.665001,-.16468446
EH9 2B,38.98,46.665001,-.16468446
EH9 3H,38.98,46.665001,-.16468446
EH91 5,38.98,46.665001,-.16468446
EH95 1,38.98,46.665001,-.16468446
EH99 1,38.98,46.665001,-.16468446
FK1 1L,38.98,46.855,-.16807172
FK1 2D,38.98,47.490002,-.17919563
FK1 3H,38.98,47.490002,-.17919563
FK1 4L,38.98,46.855,-.16807172
FK1 5N,38.98,46.855,-.16807172
FK1 9S,38.98,46.855,-.16807172
FK10 1,38.98,46.855,-.16807172
FK10 2,38.98,46.855,-.16807172
FK10 3,38.98,46.855,-.16807172
FK10 4,38.98,47.310001,-.17607272
FK11 7,38.98,47.490002,-.17919563
FK12 5,38.98,47.310001,-.17607272
FK13 6,38.98,47.310001,-.17607272
FK14 7,38.98,47.490002,-.17919563
FK15 0,38.98,47.310001,-.17607272
FK15 9,38.98,47.310001,-.17607272
FK16 6,38.98,47.490002,-.17919563
FK17 8,71.730003,47.310001,.51616997
FK18 8,71.730003,51.095001,.40385556
FK19 8,71.730003,51.095001,.40385556
FK2 0A,38.98,46.855,-.16807172
FK2 7E,38.98,46.855,-.16807172
FK2 8A,38.98,46.855,-.16807172
FK2 9B,38.98,46.855,-.16807172
FK20 8,71.730003,51.095001,.40385556
FK21 8,71.730003,58.540001,.22531602
FK3 0A,38.98,46.855,-.16807172
FK3 8H,38.98,46.855,-.16807172
FK3 9D,38.98,46.855,-.16807172
FK4 1R,38.98,46.855,-.16807172
FK4 2F,38.98,47.490002,-.17919563
FK5 3N,38.98,46.855,-.16807172
FK5 4Q,38.98,46.855,-.16807172
FK6 5J,38.98,46.855,-.16807172
FK6 6P,38.98,46.855,-.16807172
FK7 0L,38.98,46.855,-.16807172
FK7 7H,38.98,47.490002,-.17919563
FK7 8A,38.98,47.490002,-.17919563
FK7 9J,38.98,46.855,-.16807172
FK8 1X,38.98,46.855,-.16807172
FK8 2A,38.98,46.855,-.16807172
FK8 3B,38.98,47.490002,-.17919563
FK9 4Q,38.98,46.855,-.16807172
FK9 5H,38.98,46.855,-.16807172
G1 1RF,38.98,46.665001,-.16468446
G1 2SD,38.98,46.665001,-.16468446
G1 3HF,38.98,46.665001,-.16468446
G1 4NN,38.98,46.665001,-.16468446
G1 5QA,38.98,46.665001,-.16468446
G11 5P,38.98,46.665001,-.16468446
G11 6R,38.98,46.665001,-.16468446
G11 7P,38.98,46.665001,-.16468446
G11 9F,38.98,46.665001,-.16468446
G12 0R,38.98,46.665001,-.16468446
G12 8T,38.98,46.665001,-.16468446
G12 9X,38.98,46.665001,-.16468446
G13 1U,38.98,46.665001,-.16468446
G13 2Y,38.98,46.665001,-.16468446
G13 3Q,38.98,46.665001,-.16468446
G13 4N,38.98,46.665001,-.16468446
G14 0B,38.98,46.665001,-.16468446
G14 9X,38.98,46.665001,-.16468446
G15 6R,38.98,46.665001,-.16468446
G15 7N,38.98,46.665001,-.16468446
G15 8S,38.98,46.665001,-.16468446
G2 1BA,38.98,46.665001,-.16468446
G2 3LG,38.98,46.665001,-.16468446
G2 4SQ,38.98,46.665001,-.16468446
G2 5AP,38.98,46.665001,-.16468446
G2 6XU,38.98,46.665001,-.16468446
G2 7JD,38.98,46.665001,-.16468446
G2 8LR,38.98,46.665001,-.16468446
G20 0J,38.98,46.665001,-.16468446
G20 6N,38.98,46.665001,-.16468446
G20 7A,38.98,46.665001,-.16468446
G20 8H,38.98,46.665001,-.16468446
G20 9R,38.98,46.665001,-.16468446
G21 1S,38.98,46.665001,-.16468446
G21 2B,38.98,46.665001,-.16468446
G21 3P,38.98,46.665001,-.16468446
G21 4Q,38.98,46.665001,-.16468446
G22 5A,38.98,46.665001,-.16468446
G22 6J,38.98,46.665001,-.16468446
G22 7B,38.98,46.665001,-.16468446
G23 5N,38.98,46.665001,-.16468446
G3 6JP,38.98,46.665001,-.16468446
G3 7HW,38.98,46.665001,-.16468446
G3 8SN,38.98,46.665001,-.16468446
G31 1R,38.98,46.665001,-.16468446
G31 2B,38.98,46.665001,-.16468446
G31 3E,38.98,46.665001,-.16468446
G31 4P,38.98,46.665001,-.16468446
G31 5E,38.98,46.665001,-.16468446
G32 0Q,38.98,46.665001,-.16468446
G32 2A,38.98,46.665001,-.16468446
G32 6P,38.98,46.665001,-.16468446
G32 7X,38.98,46.665001,-.16468446
G32 8L,38.98,46.665001,-.16468446
G32 9L,38.98,46.665001,-.16468446
G33 1J,38.98,46.665001,-.16468446
G33 2P,38.98,46.665001,-.16468446
G33 3J,38.98,46.665001,-.16468446
G33 4T,38.98,46.665001,-.16468446
G33 5P,38.98,46.665001,-.16468446
G33 6B,38.98,46.665001,-.16468446
G34 0D,38.98,46.665001,-.16468446
G34 9B,38.98,46.665001,-.16468446
G4 0UE,38.98,46.665001,-.16468446
G4 9XF,38.98,46.665001,-.16468446
G40 1A,38.98,46.665001,-.16468446
G40 2J,38.98,46.665001,-.16468446
G40 3Y,38.98,46.665001,-.16468446
G40 4A,38.98,46.665001,-.16468446
G41 1A,38.98,46.665001,-.16468446
G41 2N,38.98,46.665001,-.16468446
G41 3H,38.98,46.665001,-.16468446
G41 4B,38.98,46.665001,-.16468446
G41 5S,38.98,46.665001,-.16468446
G42 0E,38.98,46.665001,-.16468446
G42 7R,38.98,46.665001,-.16468446
G42 8R,38.98,46.665001,-.16468446
G42 9X,38.98,46.665001,-.16468446
G43 1B,38.98,46.665001,-.16468446
G43 2J,38.98,46.665001,-.16468446
G44 3N,38.98,46.665001,-.16468446
G44 4D,38.98,46.665001,-.16468446
G44 5L,38.98,46.665001,-.16468446
G44 9B,38.98,46.665001,-.16468446
G45 0A,38.98,46.665001,-.16468446
G45 9T,38.98,46.665001,-.16468446
G46 6D,38.98,46.665001,-.16468446
G46 7B,38.98,46.665001,-.16468446
G46 8T,38.98,46.665001,-.16468446
G46 9S,38.98,46.665001,-.16468446
G5 0SH,38.98,46.665001,-.16468446
G5 8EJ,38.98,46.665001,-.16468446
G5 9RY,38.98,46.665001,-.16468446
G51 1L,38.98,46.665001,-.16468446
G51 2U,38.98,46.665001,-.16468446
G51 3H,38.98,46.665001,-.16468446
G51 4B,38.98,46.665001,-.16468446
G52 1H,38.98,46.665001,-.16468446
G52 2L,38.98,46.665001,-.16468446
G52 3Q,38.98,46.665001,-.16468446
G52 4H,38.98,46.665001,-.16468446
G53 5X,38.98,46.665001,-.16468446
G53 6H,38.98,46.665001,-.16468446
G53 7R,38.98,47.490002,-.17919563
G58 1Y,38.98,46.665001,-.16468446
G58 2S,38.98,46.665001,-.16468446
G60 5J,38.98,46.665001,-.16468446
G61 1N,38.98,46.665001,-.16468446
G61 2L,38.98,46.665001,-.16468446
G61 3D,38.98,46.665001,-.16468446
G61 4Q,38.98,47.490002,-.17919563
G62 6N,38.98,46.665001,-.16468446
G62 7D,38.98,46.665001,-.16468446
G62 8D,38.98,46.665001,-.16468446
G62 9B,38.98,46.665001,-.16468446
G63 0R,38.98,47.490002,-.17919563
G63 9B,38.98,47.490002,-.17919563
G64 1S,38.98,46.665001,-.16468446
G64 2A,38.98,46.665001,-.16468446
G64 3P,38.98,46.665001,-.16468446
G64 4A,38.98,47.490002,-.17919563
G65 0S,38.98,47.490002,-.17919563
G65 9B,38.98,46.855,-.16807172
G66 1P,38.98,46.855,-.16807172
G66 2R,38.98,46.855,-.16807172
G66 3S,38.98,46.855,-.16807172
G66 4H,38.98,46.855,-.16807172
G66 5A,38.98,46.855,-.16807172
G66 7H,38.98,47.310001,-.17607272
G66 8E,38.98,47.310001,-.17607272
G67 1L,38.98,46.855,-.16807172
G67 2J,38.98,46.855,-.16807172
G67 3A,38.98,46.855,-.16807172
G67 4H,38.98,47.490002,-.17919563
G68 0F,38.98,46.855,-.16807172
G68 9F,38.98,46.855,-.16807172
G69 0E,38.98,47.310001,-.17607272
G69 6R,38.98,46.665001,-.16468446
G69 7P,38.98,46.855,-.16807172
G69 8B,38.98,47.310001,-.17607272
G69 9B,38.98,47.310001,-.17607272
G70 5T,38.98,46.855,-.16807172
G70 6A,38.98,46.855,-.16807172
G71 5Q,38.98,46.855,-.16807172
G71 6P,38.98,46.855,-.16807172
G71 7S,38.98,47.490002,-.17919563
G71 8S,38.98,46.855,-.16807172
G71 9A,38.98,46.855,-.16807172
G72 0D,38.98,46.855,-.16807172
G72 6W,38.98,46.665001,-.16468446
G72 7J,38.98,46.665001,-.16468446
G72 8N,38.98,46.665001,-.16468446
G72 9L,38.98,46.855,-.16807172
G73 1D,38.98,46.665001,-.16468446
G73 2D,38.98,46.665001,-.16468446
G73 3A,38.98,46.665001,-.16468446
G73 4P,38.98,46.665001,-.16468446
G73 5L,38.98,46.665001,-.16468446
G74 1J,38.98,46.855,-.16807172
G74 2D,38.98,46.855,-.16807172
G74 3P,38.98,46.855,-.16807172
G74 4Q,38.98,46.855,-.16807172
G74 5E,38.98,46.855,-.16807172
G75 0Q,38.98,46.855,-.16807172
G75 8D,38.98,46.855,-.16807172
G75 9H,38.98,46.855,-.16807172
G76 0A,38.98,47.310001,-.17607272
G76 6A,38.98,46.665001,-.16468446
G76 7X,38.98,46.665001,-.16468446
G76 8D,38.98,46.665001,-.16468446
G76 9D,38.98,47.490002,-.17919563
G77 5F,38.98,46.665001,-.16468446
G77 6P,38.98,47.490002,-.17919563
G78 1D,38.98,46.855,-.16807172
G78 2A,38.98,46.855,-.16807172
G78 3N,38.98,47.310001,-.17607272
G78 4B,38.98,47.490002,-.17919563
G79 1A,38.98,46.855,-.16807172
G81 1Y,38.98,46.665001,-.16468446
G81 2H,38.98,46.665001,-.16468446
G81 3B,38.98,46.665001,-.16468446
G81 4Q,38.98,46.665001,-.16468446
G81 5B,38.98,46.665001,-.16468446
G81 6N,38.98,46.665001,-.16468446
G82 1S,38.98,46.855,-.16807172
G82 2H,38.98,46.855,-.16807172
G82 3B,38.98,46.855,-.16807172
G82 4L,38.98,46.855,-.16807172
G82 5P,38.98,47.490002,-.17919563
G82 9S,38.98,46.855,-.16807172
G83 0B,38.98,46.855,-.16807172
G83 7B,38.98,51.095001,-.23710735
G83 8S,38.98,46.855,-.16807172
G83 9N,38.98,46.855,-.16807172
G84 0F,38.98,47.310001,-.17607272
G84 7N,38.98,46.855,-.16807172
G84 8D,38.98,46.855,-.16807172
G84 9Q,38.98,46.855,-.16807172
G90 8A,38.98,46.665001,-.16468446
HS1 2S,71.730003,58.575001,.22458386
HS1 9A,71.730003,58.575001,.22458386
HS2 0D,71.730003,58.575001,.22458386
HS2 9P,71.730003,58.540001,.22531602
HS3 3B,71.730003,58.540001,.22531602
HS4 3Y,71.730003,58.540001,.22531602
HS5 3U,71.730003,58.540001,.22531602
HS6 5B,71.730003,58.540001,.22531602
HS7 5Q,71.730003,58.540001,.22531602
HS8 5S,71.730003,58.540001,.22531602
HS9 5X,71.730003,58.540001,.22531602
IV1 1U,71.730003,46.855,.53089321
IV1 3X,71.730003,47.490002,.51042324
IV10 8,71.730003,51.095001,.40385556
IV11 8,71.730003,51.095001,.40385556
IV12 4,71.730003,47.310001,.51616997
IV12 5,71.730003,47.310001,.51616997
IV13 7,71.730003,47.490002,.51042324
IV14 9,71.730003,51.095001,.40385556
IV15 9,71.730003,48.884998,.46732128
IV16 9,71.730003,51.095001,.40385556
IV17 0,71.730003,48.884998,.46732128
IV18 0,71.730003,51.095001,.40385556
IV19 1,71.730003,58.575001,.22458386
IV2 3N,71.730003,46.855,.53089321
IV2 4N,71.730003,46.855,.53089321
IV2 5T,71.730003,46.855,.53089321
IV2 6X,71.730003,51.095001,.40385556
IV2 7S,71.730003,47.490002,.51042324
IV20 1,71.730003,58.540001,.22531602
IV21 2,71.730003,58.540001,.22531602
IV22 2,71.730003,58.540001,.22531602
IV23 2,71.730003,58.540001,.22531602
IV24 3,71.730003,58.540001,.22531602
IV25 3,71.730003,58.540001,.22531602
IV26 2,71.730003,58.540001,.22531602
IV27 4,71.730003,58.540001,.22531602
IV27 9,71.730003,58.540001,.22531602
IV28 3,71.730003,58.540001,.22531602
IV3 5E,71.730003,46.855,.53089321
IV3 8R,71.730003,46.855,.53089321
IV30 1,71.730003,46.855,.53089321
IV30 4,71.730003,46.855,.53089321
IV30 5,71.730003,47.490002,.51042324
IV30 6,71.730003,46.855,.53089321
IV30 8,71.730003,47.490002,.51042324
IV30 9,71.730003,46.855,.53089321
IV31 6,71.730003,47.310001,.51616997
IV32 7,71.730003,47.490002,.51042324
IV36 1,71.730003,46.855,.53089321
IV36 2,71.730003,46.855,.53089321
IV36 3,71.730003,47.490002,.51042324
IV4 7L,71.730003,51.095001,.40385556
IV40 8,71.730003,58.540001,.22531602
IV41 8,71.730003,58.540001,.22531602
IV42 8,71.730003,58.540001,.22531602
IV43 8,71.730003,58.540001,.22531602
IV44 8,71.730003,58.540001,.22531602
IV45 8,71.730003,58.540001,.22531602
IV46 8,71.730003,58.540001,.22531602
IV47 8,71.730003,58.540001,.22531602
IV48 8,71.730003,58.540001,.22531602
IV49 9,71.730003,58.540001,.22531602
IV5 7P,71.730003,47.490002,.51042324
IV51 9,71.730003,58.540001,.22531602
IV52 8,71.730003,58.540001,.22531602
IV53 8,71.730003,58.540001,.22531602
IV54 8,71.730003,58.540001,.22531602
IV55 8,71.730003,58.540001,.22531602
IV56 8,71.730003,58.540001,.22531602
IV6 7R,71.730003,47.490002,.51042324
IV63 6,71.730003,51.095001,.40385556
IV63 7,71.730003,51.095001,.40385556
IV7 8L,71.730003,51.095001,.40385556
IV8 8N,71.730003,47.490002,.51042324
IV9 8R,71.730003,47.490002,.51042324
IV99 1,71.730003,46.855,.53089321
KA1 1B,38.98,46.855,-.16807172
KA1 2E,38.98,46.855,-.16807172
KA1 3Q,38.98,46.855,-.16807172
KA1 4D,38.98,46.855,-.16807172
KA1 5H,38.98,46.855,-.16807172
KA10 6,38.98,46.855,-.16807172
KA10 7,38.98,46.855,-.16807172
KA11 1,38.98,46.855,-.16807172
KA11 2,38.98,46.855,-.16807172
KA11 3,38.98,47.490002,-.17919563
